Time,State of Charge (MWh),Charge Take from Hourly Market (MWh),Discharge to Hourly market (MWh),Is Charging in Hourly Market,Charge taken from Half Hourly Market (MWh),Discharge to Half Hourly Market (MWh),Is Charging in Half Hourly Market,Current Degradation (MWh),Total Cycles,Hourly Price (£/MWh),Half Hourly Price (£/MWh),Objective Value (£)
154,3.33121347325891,0.0,0.0,1.0,0.7032449510799588,0.0,1.0,0.0007038232151295123,7.038232151295123,48.485,43.15,-499431.6953007451
155,3.33121347325891,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0007038232151295123,7.038232151295123,48.485,43.04,-499431.6953007451
156,2.33121347325891,0.0,1.0,0.0,0.0,-0.0,0.0,0.0007163232151295123,7.163232151295123,53.13,50.71,-499431.6953007451
157,1.3312134732589098,0.0,1.0,0.0,0.0,0.0,0.0,0.0007288232151295124,7.288232151295123,53.13,45.0,-499431.6953007451
158,0.8874756488392732,0.0,0.4437378244196366,0.0,0.0,0.0,0.0,0.0007343699379347578,7.343699379347577,49.15,47.01,-499431.6953007451
159,0.4437378244196366,0.0,0.4437378244196366,0.0,0.0,0.0,0.0,0.0007399166607400033,7.399166607400032,49.15,46.66,-499431.6953007451
160,1.3937378244196366,1.0,0.0,1.0,0.0,0.0,0.0,0.0007524166607400032,7.524166607400032,40.8,43.38,-499431.6953007451
161,2.3437378244196365,1.0,0.0,1.0,0.0,0.0,0.0,0.0007649166607400032,7.649166607400032,40.8,42.27,-499431.6953007451
162,2.3437378244196365,0.0,0.0,0.0,0.0,0.0,0.0,0.0007649166607400032,7.649166607400032,43.345,45.05,-499431.6953007451
163,2.3437378244196365,0.0,0.0,0.0,0.0,0.0,0.0,0.0007649166607400032,7.649166607400032,43.345,44.34,-499431.6953007451
164,2.8955654034667124,0.5808711358390273,0.0,1.0,0.0,0.0,0.0,0.0007721775499379911,7.72177549937991,41.135,43.38,-499431.6953007451
165,3.4473929825137883,0.5808711358390273,0.0,1.0,0.0,0.0,0.0,0.0007794384391356609,7.794384391356608,41.135,43.59,-499431.6953007451
166,3.6313338953460343,0.1936220135076275,0.0,1.0,-0.0,0.0,0.0,0.0007818587143045062,7.818587143045062,40.59,43.28,-499431.6953007451
167,3.815274808178281,0.1936220135076275,0.0,1.0,0.0,0.0,0.0,0.0007842789894733516,7.8427898947335155,40.59,44.02,-499431.6953007451
168,3.815274808178281,0.0,0.0,1.0,-0.0,0.0,0.0,0.0007842789894733516,7.8427898947335155,43.16,43.71,-499431.6953007451
169,3.815274808178281,0.0,0.0,0.0,0.0,0.0,0.0,0.0007842789894733516,7.8427898947335155,43.16,43.47,-499431.6953007451
170,3.815274808178281,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0007842789894733516,7.8427898947335155,41.85,42.2,-499431.6953007451
171,3.815274808178281,-0.0,0.0,0.0,0.0,0.0,0.0,0.0007842789894733516,7.8427898947335155,41.85,42.1,-499431.6953007451
172,3.907244659529592,0.0,0.0,1.0,0.09681036984348584,0.0,1.0,0.0007854891190963952,7.854891190963952,43.105,42.33,-499431.6953007451
173,3.907244659529592,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0007854891190963952,7.854891190963952,43.105,42.65,-499431.6953007451
174,3.907244659529592,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0007854891190963952,7.854891190963952,51.43,44.62,-499431.6953007451
175,3.907244659529592,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0007854891190963952,7.854891190963952,51.43,46.55,-499431.6953007451
176,3.907244659529592,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0007854891190963952,7.854891190963952,63.585,44.3,-499431.6953007451
177,3.907244659529592,0.0,0.0,0.0,0.0,0.0,0.0,0.0007854891190963952,7.854891190963952,63.585,65.72,-499431.6953007451
178,2.907244659529592,0.0,1.0,0.0,0.0,0.0,0.0,0.0007979891190963952,7.979891190963952,76.97,65.67,-499431.6953007451
